categories,Question (japanese),Question(english),Answer (english),Answer (japanese)
For Everyone,Devprotocolとはなんですか？,What is the Dev Protocol?,"The Dev Protocol is a way for creators who run projects such as OSS and Open Access to earn income opportunities and achieve sustainability.
The Dev Protocol aims to create a world where innovators can take on challenges and solve problems that might not be financially viable, but offer value. Creators who create technically socially valuable project that might not be economically viable are now able to find an alternative way for funding. Reference article: https://initto.devprotocol.xyz/en/what-is-protocol/","Dev Protocolは、OSSやオープンアクセスといったプロジェクトでクリエイターが収益を得る機会と持続可能性を達成する方法です。
Dev Protocolの目標は資金的な理由で存続が難しいイノベーターが挑戦をして社会問題を解決し、価値を提供する世界を創造することです。技術的にも社会的にも価値があるプロジェクトを作り出すが経済的な困難を抱えるクリエイターが資金提供の新たな方法を利用することができます。詳しくはこちらの関連記事をご参照ください：https://initto.devprotocol.xyz/en/what-is-protocol/
"
For Everyone,DEVトークンを購入する方法は何ですか？,What is the way for buying DEV token?,The easiest way to buy DEV tokens is to get Ethereum in a wallet and swap it for DEV on Uniswap V2,DEVトークンを購入する最も簡単な方法はウォレットにイーサリアムを置き、Uniswap V2でDEVと交換することです。
For Everyone,DEVトークンとは何か、そのメリットは何か？,What is a DEV token and what its benefits? ,"The DEV Token is the utility token that allows the Dev Protocol ecosystem to exist, through it Creators and Patrons are rewarded.",DEVトークンはDev Protocolのエコシステムが存続するためのユーティリティトークンです。このエコシステムによってクリエイターとパトロンの両者が報酬を得ます。
For Everyone,DEVトークンはどこで使用できますか？,Where can I use my DEV token?,"The DEV Tokens can be used to stake (fund) for an OSS Project, provide liquidity or used as a currency.",DEVトークンはOSSプロジェクトへのステーキング（資金提供）、流動性提供、通貨として使用されることがあります。
For Everyone,Dev Protocolのロードマップはどこで見ることができますか？,Where can I find the Dev Protocol roadmap?,"Best place to find the current roadmap is on our website, devprotocol.xyz","我々のウェブサイト、devprotocol.xyzにて現在のロードマップを確認することができます。
"
For Everyone,DEVトークンは証券ですか？,Is the DEV token a security?,"We don't believe DEV tokens are considered securities for multiple reasons. First even if creators don't hold any DEV, they can receive DEV as their reward in compensation for their activities. While there is a staking reward built in to incentivize interaction. Users that stake on creators are doing so to signal their importance rather than an expectation of a reward. The DEV token in our eyes is strictly a utility token used to aid the ecosystem.",DEVトークンが証券とみなされるとは予想しておりません。具体的には、クリエイターはDEVを保有していなくても、自分の活動の対価としてDEVを報酬として受け取ることができ、支援者はステーキングにより自分の保有DEVをロックした対価として報酬を受け取ることができます。また、ステーキングを解除することでロックしていた自分のDEVを全額引き出すことができます。
,,,,
,,,,
For Creators,クリエイターはどうやってDev Protocolで稼ぐことができますか？,How can creators make money with Dev Protocol?,"
Creators have to onboard their projects on stakes.social, Patrons can Stake DEV tokens on their project's pool and sustainably fund them via DEV Token Rewards.",クリエイターはstakes.social上にプロジェクトをオンボードする必要があります。パトロンはプロジェクトのプールにDEVトークンをステーキングし、DEVトークンん報酬を通じて持続可能な資金提供をすることができます。
For Creators,stakes.socialの使い方は？,How to use stakes.social?,"
It is really straight forward, visit stakes.social, connect your wallet find the project you like the most and stake DEV tokens to sustainably fund them.",使い方は非常にシンプルです。stakes.socialにアクセスし、ご自身のウォレットを好きなプロジェクトに接続すれば、持続的な資金提供をプロジェクトにするためにDEVトークンをステーキングすることができます。
For Creators,OSSしか登録できませんか？,Can I only register OSS?,"Stakes social allows onboarding of only OSS developers at the moment, but we are moving towards more creators through stakes social and other platforms.","現在、Stakes.socialにはOSS開発者しかオンボードすることができません。しかしDev Protocolは今後、stakes.socialやその他のプラットフォームを通じてより多くのクリエイターに対象を拡大していく予定です。
"
For Creators,開発中のプロジェクト（未完成）は登録できませんか？,Can I register a project that is under development (not yet completed)?,"
Projects that are being developed can be registered. However development must be recent and ongoing.",開発中のプロジェクトでも登録可能です。
For Creators,資金調達をしているプロジェクトは登録できませんか？,Can I register a project that is raising funds?,"
Projects that are being fund-raised can be registered.",資金調達をしているプロジェクトも登録可能です。
